Model Name,Feature Count,CV Score (Mean +/- Std)
Logistic Regression,64,0.7103 +/- 0.0516
XGBoost,88,0.7103 +/- 0.0516
Logistic Regression,5,0.7103 +/- 0.0516
XGBoost,4,0.7103 +/- 0.0468
ANN,132,0.7103 +/- 0.0468
Logistic Regression,107,0.7103 +/- 0.0468
XGBoost,21,0.7103 +/- 0.0468
SVM(linear),58,0.7103 +/- 0.0414
XGBoost,40,0.7103 +/- 0.0352
XGBoost,28,0.7103 +/- 0.0352
XGBoost,29,0.7103 +/- 0.0352
Logistic Regression,104,0.7103 +/- 0.0352
ANN,71,0.7103 +/- 0.0352
XGBoost,125,0.7103 +/- 0.0276
XGBoost,95,0.7103 +/- 0.0276
XGBoost,124,0.7103 +/- 0.0276
XGBoost,121,0.7103 +/- 0.0276
XGBoost,57,0.7103 +/- 0.0276
ANN,138,0.7034 +/- 0.0861
ANN,136,0.7034 +/- 0.0833
Logistic Regression,121,0.7034 +/- 0.0833
Logistic Regression,120,0.7034 +/- 0.0804
Logistic Regression,68,0.7034 +/- 0.0774
ANN,94,0.7034 +/- 0.0743
ANN,77,0.7034 +/- 0.0710
Random Forest,5,0.7034 +/- 0.0676
ANN,105,0.7034 +/- 0.0676
XGBoost,107,0.7034 +/- 0.0676
XGBoost,106,0.7034 +/- 0.0676
XGBoost,89,0.7034 +/- 0.0640
XGBoost,90,0.7034 +/- 0.0640
XGBoost,82,0.7034 +/- 0.0640
XGBoost,84,0.7034 +/- 0.0601
XGBoost,59,0.7034 +/- 0.0560
Random Forest,6,0.7034 +/- 0.0560
ANN,120,0.7034 +/- 0.0516
ANN,74,0.7034 +/- 0.0516
ANN,133,0.7034 +/- 0.0468
XGBoost,87,0.7034 +/- 0.0468
Random Forest,4,0.7034 +/- 0.0468
Logistic Regression,103,0.7034 +/- 0.0414
XGBoost,46,0.7034 +/- 0.0414
XGBoost,23,0.7034 +/- 0.0352
XGBoost,22,0.7034 +/- 0.0352
XGBoost,11,0.7034 +/- 0.0352
XGBoost,123,0.7034 +/- 0.0352
ANN,134,0.7034 +/- 0.0352
Logistic Regression,114,0.7034 +/- 0.0352
Logistic Regression,109,0.7034 +/- 0.0352
ANN,72,0.7034 +/- 0.0276
XGBoost,96,0.7034 +/- 0.0276
XGBoost,126,0.7034 +/- 0.0169
