,UNC93B6,HMGB1P5,AC024568.1,PTMAP5,AP003086.3,AC103705.1,GAPDHP72,AL590627.1,FAM91A3P,PHACTR2P1,SH3GL1P1,AL669831.3,RPL37P6,CYCSP38,AIDAP2,AC005230.1,AP001885.1,ZNRF2P2,GTF2IP4,KRT8P12,RPS18P9,PDIA3P1,NANOGP4,CCNYL6,RPS10P7,RPS12P26,RPL26P30,AC112694.1,PRELID1P1,Diagnosis
RNA41_FPKM,0.122837605,37.91952448,0.033201162,20.03134389,0.094964711,0.0,0.015786793,0.12920917,0.05901207,0.0,0.519823481,0.080789857,4.737999038,0.0,0.059315542,0.0,0.082805684,0.0,39.36900647,3.133809367,1.548591201,4.707768329,0.0,0.119607612,0.393804291,0.947697059,1.721654088,0.0,0.432171459,0
RNA418_FPKM,0.214877395,36.50711714,0.20914145,23.9226262,0.332239784,0.049553089,0.0,0.556004187,0.216764578,0.036026251,0.860369824,0.414558039,9.154759295,0.978511966,0.217920999,0.276454075,0.260705833,0.047094687,40.01082766,3.354963548,1.228051001,5.789506734,0.0,0.020926803,0.356968385,0.79565872,0.439523321,0.038080914,0.856807176,0
RNA431_FPKM,0.180491339,37.95372163,0.097562396,22.79140396,0.232531269,0.208075865,0.0,0.892181782,0.173382913,0.0,1.145581169,0.184636934,8.226708191,0.0,0.130720637,1.547670638,0.304099084,0.0,26.75559711,1.795620754,0.75836539,3.874936078,0.0,0.175717701,0.157781337,0.55679549,1.367284971,0.0,0.705478744,1
RNA44_FPKM,0.0,38.45495124,0.0,16.94452861,0.746198658,0.05056912,0.0,0.539915172,0.189666551,0.0,1.328185709,0.298165701,4.384450978,0.499409325,0.015887157,0.846656146,0.133092665,0.192290438,37.09636124,2.014662652,0.995572592,6.122980549,0.0,0.064089509,0.728824787,0.609335862,0.498582522,0.11662494,0.771798088,1
RNA442_FPKM,0.0,43.57940592,0.21104009,24.29848245,0.067042866,0.099973984,0.0,0.574712486,0.218722454,0.0,0.889319348,0.066550642,8.781319572,0.0,0.031408543,0.0,0.043838565,0.0,17.29327732,1.85860738,0.911144904,6.8480544,0.087052922,0.021110045,0.398113467,0.0,1.478411855,0.0,0.508552703,0
RNA454_FPKM,0.0,38.13649469,0.0,22.79409732,0.166161139,0.061959181,0.0,0.61036671,0.193586147,0.045045769,0.787084255,0.294490029,3.815163559,0.0,0.097309456,0.345667009,0.325927152,0.0,30.34149597,2.426230129,0.5419093,5.042600055,0.215704125,0.052307534,0.469770564,0.497317843,1.221170475,0.095185049,0.819147122,0
RNA457_FPKM,0.0,39.05833808,0.101877854,27.25991286,0.509829251,0.108620996,0.012115592,0.535090748,0.226261742,0.131609217,1.134672856,0.268496941,2.147181735,0.178836673,0.227468829,0.807873506,0.190494166,0.103232148,19.56903231,1.730455084,0.527840323,7.427644176,0.31525669,0.152884428,0.260835483,0.436129755,1.356055497,0.0,0.883853931,0
RNA466_FPKM,0.0,36.39194056,0.0,29.06546845,0.342559087,0.204319269,0.0,0.643169278,0.09576709,0.0,1.189968507,0.495428075,7.807381186,0.25228621,0.240725428,0.854847292,0.313610655,0.097114357,40.14519907,2.814735799,0.96825087,6.506221922,0.0,0.021576669,0.542368344,0.205141818,1.560978887,0.0,1.143192904,0
RNA471_FPKM,0.059219529,46.95874047,0.12004069,25.2620865,0.183082613,0.307163995,0.0,0.691247718,0.639882257,0.024804536,1.315365813,0.499724979,3.269796459,0.337109929,0.257324834,2.855895548,0.209509849,0.097308379,36.36251187,2.197693987,0.82102585,6.048555795,0.297143437,0.028831181,0.42705876,2.055379372,1.244700445,0.078683865,0.972082803,0
RNA476_FPKM,0.0,47.25947829,0.039805111,34.64908775,0.075844773,0.0,0.0,0.588288721,0.424194193,0.0,1.006157762,0.139828917,2.322417562,0.279377486,0.106614308,0.630975286,0.099188062,0.053771399,35.79593045,2.853752971,0.45359084,7.221004696,0.0,0.023893639,0.536193562,1.589733747,0.892062669,0.043479725,0.632937697,0
