,MIR4513,MIR553,MIR1244-1,MIR4312,MIR4639,MIR4721,MIR5587,MIR1244-2,MIR3174,MIR5194,MIR6774,MIR635,MIR1255A,MIR4632,MIR8075,MIRLET7B,MIR590,Diagnosis
RNA379_FPKM,2.586971399,1.63676949,247.4111552,2.927362373,4.837389357,1.250565453,4.197727176,61.52543489,1.279314084,2.78149888,7.948293089,4.541634601,0.984958631,5.471801076,1.391254066,4.021444164,5.735881611,1
RNA38_FPKM,2.595669909,1.093989325,164.5815576,2.937205423,7.54927954,0.835857013,2.808232793,49.02401102,0.0,1.860230101,5.315199288,3.79657092,0.0,6.09940902,0.929890927,0.896280411,8.438342005,0
RNA383_FPKM,2.824288596,1.19026205,300.0639545,1.064971308,2.34711594,0.909413701,3.055679243,75.25381939,0.930319763,6.072848491,3.469840275,8.262037125,0.0,3.981783922,1.011722742,1.951216866,5.84320432,0
RNA385_FPKM,3.08337865,1.559675201,345.0520172,0.698088639,3.84305165,1.191661951,6.004250952,77.37141502,0.609824558,4.419939061,5.304000529,9.74159083,0.0,5.216808204,0.663184207,4.473253458,7.654726954,1
RNA386_FPKM,1.025616906,0.0,448.1094879,1.160566499,3.833664601,0.99104555,3.326788745,93.35593178,1.013828206,2.204357145,6.297752299,8.097638493,0.0,2.890488582,2.203997544,1.062687397,5.454079535,0
RNA39_FPKM,3.837322714,2.426542304,265.9698037,4.342233597,3.587671649,0.927465922,4.670742336,79.59652105,1.896607778,2.062911198,5.893631721,14.31293406,0.0,2.704997979,2.062560959,5.964031688,6.805191384,1
RNA392_FPKM,4.259993089,0.0,276.9530063,1.20570707,3.98280348,2.058198908,1.72893844,64.65785548,1.053261348,4.580224003,3.925906288,7.477618195,0.0,6.005891896,2.289746286,1.104020931,3.77690109,0
RNA409_FPKM,4.135353577,0.0,257.3064927,2.339162523,3.865338836,0.999236269,3.354270787,69.03349959,0.0,2.222569831,6.351034794,7.257967503,0.0,5.830170617,1.111650349,5.356294405,4.583220985,0
RNA41_FPKM,0.0,0.0,475.936228,0.987297704,1.087458341,0.84308568,0.0,136.8650225,0.0,1.251055874,2.144667212,6.127034342,0.0,2.461093522,0.0,16.27672268,0.77355284,0
RNA418_FPKM,3.663730849,1.158667815,375.3442276,1.036702782,2.283751057,0.885274286,1.486592669,119.5537393,1.811250838,2.625673775,3.375592022,4.823057917,0.0,3.873630189,0.984867643,9.490849746,1.624523947,0
